INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY,NUM_TILES,AVG_DEVICE_KERNEL_DURATION [ns]
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,1,2236.2
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,10,2604.4
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,100,3400.4
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,1000,15479.8
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,2000,25106.5
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,5000,57433.7
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,8000,88517.8
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,10000,111726.9
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,12500,139614.4
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,1,2086.1
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,10,2181.6
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,100,2659.4
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,1000,7834.3
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,2000,12818.2
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,5000,27744.9
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,8000,43023.6
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,10000,53418.7
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,12500,66083.9
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,1,2127.8
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,10,2289.8
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,100,2893.8
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,1000,9712.9
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,2000,15311.9
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,5000,32683.9
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,8000,50370.9
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,10000,62981.9
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,12500,77615.1
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,1,2369.4
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,10,2691.6
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,100,4009.1
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,1000,18523.1
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,2000,31286.3
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,5000,78847.1
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,8000,121867.9
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,10000,158597.5
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,12500,185743.1
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,1,2214.0
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,10,2351.4
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,100,3034.5
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,1000,10096.9
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,2000,17470.6
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,5000,40612.5
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,8000,62228.0
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,10000,79339.1
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,12500,96903.1
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,1,2260.8
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,10,2442.2
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,100,3331.8
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,1000,11866.1
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,2000,19728.2
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,5000,47185.3
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,8000,70812.7
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,10000,93596.3
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,12500,109340.6
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,1,2364.7
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,10,2715.8
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,100,3859.8
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,1000,15798.1
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,2000,25817.4
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,5000,57974.1
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,8000,84333.1
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,10000,118115.6
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,12500,132882.3
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,1,2200.3
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,10,2312.3
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,100,2945.4
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,1000,9687.7
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,2000,16668.8
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,5000,38979.3
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,8000,59742.2
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,10000,76057.1
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,12500,92990.1
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,1,2261.3
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,10,2458.3
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,100,3221.4
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,1000,11019.1
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,2000,18429.8
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,5000,43838.9
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,8000,65243.3
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,10000,86447.4
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,12500,101091.8
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1,2503.6
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10,3005.8
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,100,4437.2
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1000,24838.8
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,2000,42884.3
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,5000,108129.8
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,8000,159193.4
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10000,223823.6
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,12500,251875.7
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1,2322.1
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10,2500.4
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,100,3224.1
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1000,10995.1
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,2000,18786.1
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,5000,43310.5
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,8000,66642.4
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10000,86134.4
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,12500,104632.3
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1,2384.5
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10,2629.8
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,100,3585.8
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1000,14096.6
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,2000,24834.9
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,5000,58959.5
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,8000,90530.9
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10000,123075.9
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,12500,139691.4
