DEVICE KERNEL DURATION [ns],NUM_TILES,INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY
2244,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2237,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2246,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2237,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2225,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2239,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2239,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2237,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2235,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2223,1,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2635,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2599,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2601,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2665,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2517,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2583,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2589,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2568,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2667,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2620,10,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
3360,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
3441,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
3420,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
3423,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
3392,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
3339,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
3458,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
3314,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
3453,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
3404,100,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
15963,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
15050,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
15855,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
15143,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
15660,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
15536,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
16282,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
14696,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
15446,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
15167,1000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
24321,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
24790,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
25003,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
24258,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
26390,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
24903,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
25679,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
25657,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
24938,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
25126,2000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
57465,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
58323,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
56744,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
57181,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
58746,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
55345,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
58999,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
56310,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
60276,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
54948,5000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
88627,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
87106,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
88569,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
90557,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
87758,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
86704,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
88204,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
89744,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
90719,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
87190,8000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
113135,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
113235,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
110349,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
112217,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
111678,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
108724,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
109473,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
110532,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
113763,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
114163,10000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
139265,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
137398,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
139756,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
140284,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
141589,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
139514,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
139417,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
138922,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
139225,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
140774,12500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2370,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2345,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2334,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2341,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2347,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2359,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2355,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2513,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2348,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2335,1,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2652,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2648,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2754,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2815,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2625,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2678,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2617,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2711,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2823,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2835,10,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3959,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3776,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3791,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3825,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3727,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3890,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3948,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3893,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3931,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
3858,100,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
16011,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
15556,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
15055,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
16043,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
15556,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
15892,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
15727,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
15242,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
16439,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
16460,1000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
26065,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
24944,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
26617,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
26218,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
25440,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
27390,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
25893,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
25104,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
25239,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
25264,2000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
57351,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
58057,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
59792,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
57817,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
58813,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
56821,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
58108,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
57573,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
56914,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
58495,5000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
83903,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
83743,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
86016,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
83209,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
84496,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
83974,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
84229,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
84174,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
83856,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
85731,8000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
117648,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
114991,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
119243,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
121844,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
116667,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
117740,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
117440,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
120306,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
118595,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
116682,10000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
131842,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
130423,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
134997,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
131405,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
131234,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
137817,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
134061,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
130725,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
133566,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
132753,12500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2400,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2400,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2365,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2362,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2365,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2372,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2363,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2351,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2361,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2355,1,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2724,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2616,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2711,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2648,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2704,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2691,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2647,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2711,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2746,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2718,10,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3915,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
4105,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3817,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
4167,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3968,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3966,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3888,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
3981,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
4276,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
4008,100,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
19629,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
17125,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
17746,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
17194,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
19185,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
20181,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
18876,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
19594,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
17858,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
17843,1000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
29281,2000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
32040,2000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
30712,2000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
32023,2000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
31800,2000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
31118,2000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
31751,2000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
30254,2000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
31523,2000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
32361,2000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
79296,5000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
77222,5000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
76405,5000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
79873,5000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
78348,5000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
78392,5000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
81077,5000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
77032,5000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
80111,5000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
80715,5000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
122086,8000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
120787,8000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
121800,8000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
118826,8000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
121150,8000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
129974,8000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
123422,8000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
123864,8000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
118036,8000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
118734,8000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
158989,10000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
157361,10000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
159449,10000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
158866,10000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
159743,10000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
158456,10000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
153371,10000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
160198,10000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
162741,10000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
156801,10000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
187108,12500,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
183891,12500,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
188854,12500,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
186262,12500,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
186722,12500,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
184617,12500,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
181686,12500,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
187772,12500,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
183797,12500,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
186722,12500,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2528,1,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
2473,1,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
2514,1,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
2471,1,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
2480,1,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
