DEVICE KERNEL DURATION [ns],ESTIMATED KERNEL DURATION [ns],NUM_TILES,INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY
2435,2449.5746941357593,5,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2735,2614.319091176979,20,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2751,2614.319091176979,20,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
8332,7886.139796496003,500,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
34714,35343.53930336593,3000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
46404,46326.49910611389,4000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
82848,79275.3785143578,7000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
98743,101241.29811985375,9000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
122483,123207.21772534968,11000,BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED
2661,3760.588951552334,5,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2797,3920.2766425635987,20,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2845,3920.2766425635987,20,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
9713,9030.28275492407,500,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
34898,35644.89792346819,3000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
45635,46290.743990885836,4000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
73864,78228.28219313879,7000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
99846,99519.97432797408,9000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
124991,120811.66646280937,11000,BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED
2526,2977.1399213458776,5,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2884,3200.9624881305667,20,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2837,3200.9624881305667,20,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
10800,10363.284625240607,500,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
48399,47667.045756022075,3000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
63573,62588.55020833466,4000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
106418,107353.06356527242,7000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
134744,137196.07246989757,9000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
165191,167039.08137452276,11000,BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED
2784,3907.1564311674233,5,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
3138,4210.908022771229,20,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
3185,4210.908022771229,20,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
14484,13930.958954093034,500,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
60117,64556.224221394106,3000,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
82054,84806.33032831452,4000,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
147153,145556.6486490758,7000,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
180756,186056.86086291666,9000,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
238333,226557.07307675752,11000,BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED
2156,2340.165331211267,5,BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED
2322,2416.714692832552,20,BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED
2315,2416.714692832552,20,BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED
4932,4866.294264713673,500,BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED
17618,17624.52120159451,3000,BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED
22723,22727.81197634685,4000,BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED
38282,38037.68430060385,7000,BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED
48250,48244.265850108524,9000,BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED
58451,58450.847399613194,11000,BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED
2272,2295.298407717062,5,BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED
2428,2404.0743947252613,20,BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED
2435,2404.0743947252613,20,BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED
6207,5884.905978987625,500,BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED
23585,24014.237147020765,3000,BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED
32095,31265.96961423402,4000,BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED
52922,53021.16701587378,7000,BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED
67311,67524.6319503003,9000,BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED
82180,82028.09688472682,11000,BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED
2451,2360.6775572707397,5,BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED
2433,2475.422890719074,20,BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED
2541,2475.422890719074,20,BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED
6458,6147.273561065764,500,BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED
24728,25271.49580245477,3000,BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED
32144,32921.18469901037,4000,BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED
55554,55870.25138867718,7000,BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED
70623,71169.62918178838,9000,BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED
84625,86469.00697489959,11000,BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED
2420,2313.173838531923,5,BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
2610,2436.842913152008,20,BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
2665,2436.842913152008,20,BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
6682,6394.25330099472,500,BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
26491,27005.765737675516,3000,BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
35288,35250.37071234784,4000,BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
59695,59984.1856363648,7000,BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
75272,76473.39558570943,9000,BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
90778,92962.60553505407,11000,BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
2254,2682.497183753814,5,BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED
2454,2771.820237225609,20,BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED
2466,2771.820237225609,20,BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED
5965,5630.15794832304,500,BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED
21097,20517.333526955492,3000,BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED
27658,26472.203758408472,4000,BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED
44727,44336.814452767416,7000,BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED
57130,56246.554915673376,9000,BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED
69084,68156.29537857934,11000,BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED
2388,2609.2011875358908,5,BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED
2494,2729.8185147070426,20,BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED
2570,2729.8185147070426,20,BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED
7043,6589.572984183911,500,BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED
26007,26692.460846042602,3000,BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED
34465,34733.61599078608,4000,BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED
57955,58857.081425016506,7000,BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED
73672,74939.39171450345,9000,BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED
89508,91021.7020039904,11000,BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED
2359,2534.4885542711695,5,BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED
2546,2666.2014372554922,20,BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED
2753,2666.2014372554922,20,BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED
7531,6881.013692753821,500,BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED
28686,28833.160856807615,3000,BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED
38554,37614.01972242913,4000,BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED
62610,63956.59631929368,7000,BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED
80454,81518.31405053672,9000,BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED
97695,99080.03178177976,11000,BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED
2681,2582.7752369568534,5,BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
2750,2752.7323324039007,20,BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
2677,2752.7323324039007,20,BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
8485,8191.359386709411,500,BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
35117,36517.54196121728,3000,BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
47247,47848.01499102043,4000,BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
80372,81839.43408042987,7000,BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
103113,104500.38014003617,9000,BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
124722,127161.32619964246,11000,BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED
