INPUT_0_MEMORY,INPUT_1_MEMORY,CORE COUNT,TILES PER CORE,mean,std,std/mean
DRAM_INTERLEAVED,DRAM_INTERLEAVED,1,1,1916.6666666666667,107.09964207845576,0.055878074127889955
DRAM_INTERLEAVED,DRAM_INTERLEAVED,1,16,11663.0,272.8241191683756,0.02339227635843056
DRAM_INTERLEAVED,DRAM_INTERLEAVED,1,64,40475.333333333336,310.3132825602762,0.007666725805682708
DRAM_INTERLEAVED,DRAM_INTERLEAVED,2,8,7115.857142857143,235.1768331642018,0.033049684450210046
DRAM_INTERLEAVED,DRAM_INTERLEAVED,2,32,23106.571428571428,2831.1147308167533,0.12252422388014092
DRAM_INTERLEAVED,DRAM_INTERLEAVED,4,4,4487.333333333333,263.2992593988825,0.05867610891373106
DRAM_INTERLEAVED,DRAM_INTERLEAVED,4,16,12540.111111111111,409.1397818730309,0.032626487775735444
DRAM_INTERLEAVED,DRAM_INTERLEAVED,4,256,165593.11111111112,6632.440942904139,0.04005263804998413
DRAM_INTERLEAVED,DRAM_INTERLEAVED,8,2,3173.3333333333335,305.06611305311066,0.09613427932345923
DRAM_INTERLEAVED,DRAM_INTERLEAVED,8,8,8143.636363636364,689.4490949631129,0.08466108556144498
DRAM_INTERLEAVED,DRAM_INTERLEAVED,8,128,91840.76923076923,9583.91957181269,0.1043536509121682
DRAM_INTERLEAVED,DRAM_INTERLEAVED,16,1,2192.0,,
DRAM_INTERLEAVED,DRAM_INTERLEAVED,16,4,5274.0,905.7687342804453,0.17174227043618606
DRAM_INTERLEAVED,DRAM_INTERLEAVED,16,64,49827.666666666664,5008.680814346228,0.10052007548041372
DRAM_INTERLEAVED,DRAM_INTERLEAVED,16,256,187958.0,19451.00860495414,0.10348593092581396
DRAM_INTERLEAVED,DRAM_INTERLEAVED,32,2,4259.0,,
DRAM_INTERLEAVED,DRAM_INTERLEAVED,32,32,31769.0,4093.769839646582,0.12886051936310813
DRAM_INTERLEAVED,DRAM_INTERLEAVED,32,128,113958.0,12040.934888952768,0.10566116366514652
DRAM_INTERLEAVED,DRAM_INTERLEAVED,64,1,2931.0,,
DRAM_INTERLEAVED,DRAM_INTERLEAVED,64,16,31456.0,,
DRAM_INTERLEAVED,DRAM_INTERLEAVED,64,64,89769.66666666667,7838.353802510663,0.08731628503886608
DRAM_INTERLEAVED,L1_INTERLEAVED,1,1,1743.3333333333333,3.785938897200195,0.002171666671434146
DRAM_INTERLEAVED,L1_INTERLEAVED,1,16,10276.333333333334,135.9754879871126,0.013231907099203273
DRAM_INTERLEAVED,L1_INTERLEAVED,1,64,35171.333333333336,554.1058863911608,0.015754474848583905
DRAM_INTERLEAVED,L1_INTERLEAVED,2,8,6404.857142857143,207.6707559025651,0.032423948149126906
DRAM_INTERLEAVED,L1_INTERLEAVED,2,32,19938.285714285714,2111.065032496292,0.10587996695140753
DRAM_INTERLEAVED,L1_INTERLEAVED,4,4,4012.777777777778,119.12365191029212,0.02968608243645657
DRAM_INTERLEAVED,L1_INTERLEAVED,4,16,11166.222222222223,547.1797642863303,0.049003123294230344
DRAM_INTERLEAVED,L1_INTERLEAVED,4,256,141944.88888888888,5780.316631561903,0.040722259722127785
DRAM_INTERLEAVED,L1_INTERLEAVED,8,2,2807.0,203.3617466486753,0.0724480750440596
DRAM_INTERLEAVED,L1_INTERLEAVED,8,8,7263.454545454545,705.5089458874867,0.09713132249571145
DRAM_INTERLEAVED,L1_INTERLEAVED,8,128,79328.46153846153,9239.110505665438,0.11646652823571975
DRAM_INTERLEAVED,L1_INTERLEAVED,16,1,2063.0,,
DRAM_INTERLEAVED,L1_INTERLEAVED,16,4,4571.0,382.16881086765835,0.08360726555844637
DRAM_INTERLEAVED,L1_INTERLEAVED,16,64,43766.22222222222,4734.6561326504425,0.10818059892421854
DRAM_INTERLEAVED,L1_INTERLEAVED,16,256,164481.11111111112,18432.188132750573,0.11206264359619486
DRAM_INTERLEAVED,L1_INTERLEAVED,32,2,3491.0,,
DRAM_INTERLEAVED,L1_INTERLEAVED,32,32,27318.8,3130.045079547577,0.11457476461438926
DRAM_INTERLEAVED,L1_INTERLEAVED,32,128,98748.8,9429.281504971628,0.09548755534215735
DRAM_INTERLEAVED,L1_INTERLEAVED,64,1,2518.0,,
DRAM_INTERLEAVED,L1_INTERLEAVED,64,16,21767.0,,
DRAM_INTERLEAVED,L1_INTERLEAVED,64,64,73045.33333333333,5903.376773790854,0.0808179866446981
L1_INTERLEAVED,DRAM_INTERLEAVED,1,1,1787.6666666666667,6.806859285554036,0.003807678138478856
L1_INTERLEAVED,DRAM_INTERLEAVED,1,16,10978.0,143.89927032476572,0.01310796778327252
L1_INTERLEAVED,DRAM_INTERLEAVED,1,64,37539.0,442.1549502154194,0.011778548981470453
L1_INTERLEAVED,DRAM_INTERLEAVED,2,8,6722.0,183.6028322221639,0.027313720949444197
L1_INTERLEAVED,DRAM_INTERLEAVED,2,32,21013.285714285714,1725.6188951876286,0.08212037463586574
L1_INTERLEAVED,DRAM_INTERLEAVED,4,4,4118.444444444444,111.30713264556668,0.027026498511037073
L1_INTERLEAVED,DRAM_INTERLEAVED,4,16,11631.0,378.4352652700327,0.03253677803026676
L1_INTERLEAVED,DRAM_INTERLEAVED,4,256,151751.77777777778,5871.109728530412,0.038688902459699324
L1_INTERLEAVED,DRAM_INTERLEAVED,8,2,2818.6666666666665,313.7998300403194,0.11132917338232715
L1_INTERLEAVED,DRAM_INTERLEAVED,8,8,7495.272727272727,531.4068292577903,0.07089893171254237
L1_INTERLEAVED,DRAM_INTERLEAVED,8,128,83121.76923076923,7403.465057591234,0.08906770303501539
L1_INTERLEAVED,DRAM_INTERLEAVED,16,1,2023.0,,
L1_INTERLEAVED,DRAM_INTERLEAVED,16,4,4649.0,304.2745470787854,0.0654494616215929
L1_INTERLEAVED,DRAM_INTERLEAVED,16,64,45245.0,3949.187289810399,0.08728450192972481
L1_INTERLEAVED,DRAM_INTERLEAVED,16,256,170388.55555555556,15463.886414086784,0.0907566025409773
L1_INTERLEAVED,DRAM_INTERLEAVED,32,2,3445.0,,
L1_INTERLEAVED,DRAM_INTERLEAVED,32,32,27624.4,3001.1579931753013,0.10864156300861923
L1_INTERLEAVED,DRAM_INTERLEAVED,32,128,99710.4,9193.238700262275,0.09219939645475572
L1_INTERLEAVED,DRAM_INTERLEAVED,64,1,2549.0,,
L1_INTERLEAVED,DRAM_INTERLEAVED,64,16,21099.0,,
L1_INTERLEAVED,DRAM_INTERLEAVED,64,64,72956.0,6308.224869168822,0.08646615589079475
L1_INTERLEAVED,L1_INTERLEAVED,1,1,1706.6666666666667,25.42308662089112,0.01489633981692839
L1_INTERLEAVED,L1_INTERLEAVED,1,16,9013.666666666666,71.84242015225652,0.007970387946332222
L1_INTERLEAVED,L1_INTERLEAVED,1,64,30364.333333333332,214.41159794501198,0.007061297726883909
L1_INTERLEAVED,L1_INTERLEAVED,2,8,5845.428571428572,271.4091973035409,0.04643101767253498
L1_INTERLEAVED,L1_INTERLEAVED,2,32,18021.14285714286,2859.492812170918,0.15867433241269321
L1_INTERLEAVED,L1_INTERLEAVED,4,4,3693.8888888888887,126.3976309552956,0.0342180381590513
L1_INTERLEAVED,L1_INTERLEAVED,4,16,10130.777777777777,704.150867672862,0.06950610141873234
L1_INTERLEAVED,L1_INTERLEAVED,4,256,126818.44444444444,6891.098771442605,0.05433830072297882
L1_INTERLEAVED,L1_INTERLEAVED,8,2,2608.6666666666665,159.10478727346123,0.06099084613089493
L1_INTERLEAVED,L1_INTERLEAVED,8,8,6717.636363636364,775.1522782946938,0.11539062794329216
L1_INTERLEAVED,L1_INTERLEAVED,8,128,74487.46153846153,11028.325602853956,0.14805613421474284
L1_INTERLEAVED,L1_INTERLEAVED,16,1,2037.0,,
L1_INTERLEAVED,L1_INTERLEAVED,16,4,4233.0,332.50112781763613,0.07854975852058496
L1_INTERLEAVED,L1_INTERLEAVED,16,64,42884.77777777778,5373.690858659851,0.12530532130784208
L1_INTERLEAVED,L1_INTERLEAVED,16,256,158743.55555555556,20902.157377356474,0.13167247832017556
L1_INTERLEAVED,L1_INTERLEAVED,32,2,3065.0,,
L1_INTERLEAVED,L1_INTERLEAVED,32,32,27395.0,3348.422315061229,0.12222749826834199
L1_INTERLEAVED,L1_INTERLEAVED,32,128,97982.4,10902.979010343915,0.1112748719192826
L1_INTERLEAVED,L1_INTERLEAVED,64,1,2320.0,,
L1_INTERLEAVED,L1_INTERLEAVED,64,16,19072.0,,
L1_INTERLEAVED,L1_INTERLEAVED,64,64,68387.0,12253.09560886554,0.17917287801578574
